Province,City,Branch,Manager,Latitude,Longitude,Address,MapUrl
North West,Potchefstroom-Ikageng Shopping Centre,Ikageng Shopping Centre,Unknown,-26.7200515,27.0698121,42 Ikageng St Potchefstroom 2520 NW,https://goo.gl/maps/RnXFkH3KCf22
North West,Rustenburg-Rustenburg CBD,Rustenburg CBD,Unknown,-25.6686562,27.2357447,Fatima Bhayat St CBD Rustenburg 0299 NW,https://goo.gl/maps/HYtF4Cuj6FP2
North West,Klerksdorp-Terminus Centre,Terminus Centre,Unknown,-26.8624933,26.6628688,Golf St Klerksdorp 2570 NW,https://goo.gl/maps/dqGQs5KJjmw
North West,Brits,Pienaar Street,Unknown,-25.6365622,27.7807638,50 Pienaar Street Brits,https://goo.gl/maps/zzxeQXFvUCq
North West,Taung,Taung,Unknown,-27.5609078,24.7478005,shop 37a Taung,https://goo.gl/maps/g89nK3AvwyK2
North West,Mafikeng,Robinson Street,Unknown,-25.8652865,25.6426803,16 Robinson Street  Mafikeng,https://goo.gl/maps/ttPGptf7Xh82
Northen Cape,Kuruman-Kuruman Mall,Kuruman Mall,Unknown,-27.4566437,23.432505,Shop 53 Kuruman Hall 26 Livingstone Street Kuruman 8460 NC,https://goo.gl/maps/mTQ7yVTpXqR2
Western Cape,Cape Town (Belville)-Bellstar Junction,Bellstar Junction,Unknown,-33.9057939,18.6287661,Shop 33C Bellstar Junction Bellville station South Street Cape Town 7530 WC,https://goo.gl/maps/tGTS7CgUjqB2
Western Cape,Cape Town-Cape Town,Cape Town,Unknown,-33.9188745,18.419483,African Bank Space 6 St George’s Mall Cape Town 8000 WC,https://goo.gl/maps/xFBormPgbkJ2
Western Cape,Cape Town-Makhaza Mall,Makhaza Mall,Unknown,-34.0472309,18.7003923,Shop 4 Makhaza Shopping Centre Lansdown Rd Khayalitsha Cape Town 7784 WC,https://goo.gl/maps/d2wKN8PSJLP2
Western Cape,Cape Town-Gugulethu,Gugulethu,Unknown,-33.9816635,18.5633073,Cnr NY1 & NY6 Guguletu Cape Town WC,https://goo.gl/maps/kj5gpU3aLVA2
